code_creation_date,integration_release_date,code_id,channel,spend,signed_up_users,signed_up_users_1_month,signed_up_users_3_month,cac,cac_1_month,cac_3_month,paying_users,profit_actual_by_paid,ROAS,ROAS_6
"27 January, 2022","10 February, 2022",441,twitter_bloggers,"5,320",1,1,1,"5,320","5,320","5,320",1,"1,182",22%,0.00%
"27 January, 2022","11 February, 2022",442,twitter_bloggers,"12,500",5,5,5,"2,500","2,500","2,500",5,"20,403",163%,0.00%
"27 January, 2022","11 February, 2022",443,instagram_bloggers,"81,120",6,4,5,"13,520","20,280","16,224",6,"18,620",23%,0.00%
"27 January, 2022","11 February, 2022",444,youtube_bloggers,"28,000",6,5,6,"4,667","5,600","4,666.67",5,"9,380",34%,0.00%
"27 January, 2022","12 February, 2022",445,youtube_bloggers,"63,600",2,1,2,"31,800","63,600","31,800",2,"13,272",21%,0.00%
"27 January, 2022","12 February, 2022",446,twitter_bloggers,"12,766",2,2,2,"6,383","6,383","6,383",2,"9,991",78%,0.00%
"27 January, 2022","14 February, 2022",447,youtube_bloggers,"100,000",31,28,31,"3,226","3,571.43","3,225.81",27,"96,347",96%,0.00%
"27 January, 2022","15 February, 2022",448,twitter_bloggers,"15,958",4,4,4,"3,990","3,989.5","3,989.5",4,"24,677",155%,0.00%
"27 January, 2022","15 February, 2022",449,instagram_bloggers,"12,000",2,2,2,"6,000","6,000","6,000",2,"2,171",18%,0.00%
"27 January, 2022","15 February, 2022",450,instagram_bloggers,"12,500",3,3,3,"4,167","4,166.67","4,166.67",2,"2,364",19%,0.00%
"27 January, 2022","15 February, 2022",451,instagram_bloggers,"15,900",2,2,2,"7,950","7,950","7,950",2,"2,364",15%,0.00%
"27 January, 2022","16 February, 2022",452,instagram_bloggers,"60,000",20,16,19,"3,000","3,750","3,157.89",17,"63,730",106%,0.00%
"27 January, 2022","16 February, 2022",453,youtube_bloggers,"119,200",56,51,56,"2,129","2,337.25","2,128.57",51,"182,550",153%,0.00%
"27 January, 2022","16 February, 2022",454,twitter_bloggers,"6,383",6,5,6,"1,064","1,276.6","1,063.83",5,"10,483",164%,0.00%
"27 January, 2022","16 February, 2022",455,youtube_bloggers,"440,000",125,92,125,"3,520","4,782.61","3,520",108,"327,368",74%,0.00%
"27 January, 2022","17 February, 2022",456,twitter_bloggers,"5,300",2,2,2,"2,650","2,650","2,650",2,"3,890",73%,0.00%
"27 January, 2022","17 February, 2022",457,instagram_bloggers,"60,000",12,7,10,"5,000","8,571.43","6,000",9,"20,729",35%,0.00%
"27 January, 2022","18 February, 2022",458,youtube_bloggers,"60,000",68,65,68,882,923.08,882.35,59,"231,940",387%,0.00%
"27 January, 2022","18 February, 2022",459,instagram_bloggers,"60,000",15,15,15,"4,000","4,000","4,000",10,"31,826",53%,0.00%
"27 January, 2022","18 February, 2022",460,youtube_bloggers,"109,000",121,75,121,901,"1,453.33",900.83,111,"367,476",337%,0.00%
"27 January, 2022","18 February, 2022",461,instagram_bloggers,"65,000",1,1,1,"65,000","65,000","65,000",1,419,1%,0.00%
"27 January, 2022","18 February, 2022",462,youtube_bloggers,"97,500",27,18,23,"3,611","5,416.67","4,239.13",23,"91,386",94%,0.00%
"27 January, 2022","18 February, 2022",463,youtube_bloggers,"32,000",23,23,23,"1,391","1,391.3","1,391.3",21,"41,763",131%,0.00%
"27 January, 2022","20 February, 2022",464,instagram_bloggers,"48,800",19,19,19,"2,568","2,568.42","2,568.42",18,"26,707",55%,0.00%
"27 January, 2022","20 February, 2022",465,instagram_bloggers,"11,000",3,2,3,"3,667","5,500","3,666.67",1,"8,808",80%,0.00%
"27 January, 2022","21 February, 2022",466,instagram_bloggers,"6,360",1,1,1,"6,360","6,360","6,360",0,0,0%,0.00%
"27 January, 2022","23 February, 2022",467,youtube_bloggers,"34,000",9,9,9,"3,778","3,777.78","3,777.78",9,"24,490",72%,0.00%
"27 January, 2022","24 February, 2022",468,youtube_bloggers,"40,400",12,9,12,"3,367","4,488.89","3,366.67",11,"35,290",87%,0.00%
"27 January, 2022","25 February, 2022",469,telegram_bloggers,"8,480",2,1,2,"4,240","8,480","4,240",2,"2,934",35%,0.00%
"27 January, 2022","28 February, 2022",470,youtube_bloggers,"60,000",31,28,31,"1,935","2,142.86","1,935.48",26,"68,937",115%,0.00%
"28 January, 2022","1 February, 2022",471,instagram_bloggers,"22,000",1,1,1,"22,000","22,000","22,000",1,989,4%,0.00%
"1 February, 2022","8 February, 2022",472,instagram_bloggers,"15,000",3,3,3,"5,000","5,000","5,000",3,"11,175",75%,0.00%
"1 February, 2022","12 February, 2022",473,youtube_bloggers,"15,500",2,0,2,"7,750",0,"7,750",2,"17,321",112%,0.00%
"1 February, 2022","14 February, 2022",474,instagram_bloggers,"4,500",1,0,1,"4,500",0,"4,500",1,"5,754",128%,0.00%
"1 February, 2022","15 February, 2022",475,instagram_bloggers,"20,000",5,5,5,"4,000","4,000","4,000",5,"8,618",43%,0.00%
"1 February, 2022","24 February, 2022",476,youtube_bloggers,"56,000",33,33,33,"1,697","1,696.97","1,696.97",31,"79,669",142%,0.00%
"2 February, 2022","9 February, 2022",477,youtube_bloggers,"790,920",48,36,45,"16,478","21,970","17,576",42,"127,887",16%,0.00%
"2 February, 2022","11 February, 2022",478,youtube_bloggers,"40,000",28,28,28,"1,429","1,428.57","1,428.57",27,"60,993",152%,0.00%
"2 February, 2022","16 February, 2022",479,youtube_bloggers,"60,000",25,25,25,"2,400","2,400","2,400",20,"72,995",122%,0.00%
"2 February, 2022","22 February, 2022",480,youtube_bloggers,"50,400",2,0,2,"25,200",0,"25,200",1,"2,037",4%,0.00%
"3 February, 2022","11 February, 2022",481,instagram_bloggers,"6,500",3,3,3,"2,167","2,166.67","2,166.67",3,"16,514",254%,0.00%
"3 February, 2022","14 February, 2022",482,instagram_bloggers,"7,000",2,2,2,"3,500","3,500","3,500",1,"2,708",39%,0.00%
"3 February, 2022","23 February, 2022",483,instagram_bloggers,"36,171",6,6,6,"6,029","6,028.5","6,028.5",5,"27,540",76%,0.00%
"7 February, 2022","14 February, 2022",484,instagram_bloggers,"95,400",6,6,6,"15,900","15,900","15,900",6,"40,260",42%,0.00%
"8 February, 2022","15 February, 2022",485,instagram_bloggers,"21,500",2,2,2,"10,750","10,750","10,750",2,"10,264",48%,0.00%
"9 February, 2022","11 February, 2022",486,instagram_bloggers,"5,000",1,1,1,"5,000","5,000","5,000",1,989,20%,0.00%
"9 February, 2022","15 February, 2022",487,instagram_bloggers,"6,000",3,1,2,"2,000","6,000","3,000",2,838,14%,0.00%
"10 February, 2022","15 February, 2022",488,youtube_bloggers,"16,890",4,3,3,"4,223","5,630","5,630",4,"11,493",68%,0.00%
"11 February, 2022","15 February, 2022",489,instagram_bloggers,"25,000",4,2,4,"6,250","12,500","6,250",4,"11,012",44%,0.00%
"11 February, 2022","22 February, 2022",490,twitter_bloggers,"6,383",3,2,3,"2,128","3,191.5","2,127.67",3,"15,361",241%,0.00%
"14 February, 2022","16 February, 2022",491,instagram_bloggers,"12,000",5,5,5,"2,400","2,400","2,400",5,"18,878",157%,0.00%
"15 February, 2022","18 February, 2022",492,twitter_bloggers,"5,320",5,5,5,"1,064","1,064","1,064",4,"19,403",365%,0.00%
"16 February, 2022","16 February, 2022",493,telegram_bloggers,"1,500",3,2,2,500,750,750,3,"6,597",440%,0.00%
"16 February, 2022","19 February, 2022",494,instagram_bloggers,"13,000",4,4,4,"3,250","3,250","3,250",4,"17,814",137%,0.00%
"16 February, 2022","23 February, 2022",495,instagram_bloggers,"42,400",4,4,4,"10,600","10,600","10,600",4,"3,009",7%,0.00%
"17 February, 2022","22 February, 2022",496,instagram_bloggers,"21,400",1,1,1,"21,400","21,400","21,400",1,989,5%,0.00%
"1 March, 2022","3 March, 2022",497,youtube_bloggers,"9,575",1,1,1,"9,575","9,575","9,575",1,"1,182",12%,0.00%
"1 March, 2022","3 March, 2022",498,telegram_bloggers,"124,200",38,31,38,"3,268","4,006.45","3,268.42",37,"146,736",118%,0.00%
"1 March, 2022","3 March, 2022",499,youtube_bloggers,"18,000",15,14,15,"1,200","1,285.71","1,200",14,"53,819",299%,0.00%
"1 March, 2022","3 March, 2022",500,instagram_bloggers,"7,500",1,1,1,"7,500","7,500","7,500",1,419,6%,0.00%
"1 March, 2022","3 March, 2022",501,youtube_bloggers,"150,000",63,44,60,"2,381","3,409.09","2,500",56,"166,368",111%,0.00%
"1 March, 2022","5 March, 2022",502,youtube_bloggers,"18,000",5,5,5,"3,600","3,600","3,600",5,"9,339",52%,0.00%
"1 March, 2022","8 March, 2022",503,youtube_bloggers,"40,000",19,19,19,"2,105","2,105.26","2,105.26",18,"46,995",117%,0.00%
"1 March, 2022","10 March, 2022",504,youtube_bloggers,"720,000",36,36,36,"20,000","20,000","20,000",33,"124,383",17%,0.00%
"1 March, 2022","10 March, 2022",505,youtube_bloggers,"25,000",3,2,3,"8,333","12,500","8,333.33",3,"20,986",84%,0.00%
"1 March, 2022","11 March, 2022",506,youtube_bloggers,"160,000",26,26,26,"6,154","6,153.85","6,153.85",22,"124,078",78%,0.00%
"1 March, 2022","13 March, 2022",507,instagram_bloggers,"61,100",17,17,17,"3,594","3,594.12","3,594.12",15,"68,196",112%,0.00%
"1 March, 2022","14 March, 2022",508,instagram_bloggers,"60,000",6,5,6,"10,000","12,000","10,000",5,"8,196",14%,0.00%
"1 March, 2022","14 March, 2022",509,youtube_bloggers,"42,400",35,30,35,"1,211","1,413.33","1,211.43",32,"92,293",218%,0.00%
"1 March, 2022","17 March, 2022",510,youtube_bloggers,"121,000",10,9,10,"12,100","13,444.44","12,100",9,"29,680",25%,0.00%
"1 March, 2022","17 March, 2022",511,youtube_bloggers,"6,200",2,2,2,"3,100","3,100","3,100",0,0,0%,0.00%
"1 March, 2022","18 March, 2022",512,telegram_bloggers,"13,000",2,2,2,"6,500","6,500","6,500",2,"11,131",86%,0.00%
"1 March, 2022","18 March, 2022",513,youtube_bloggers,"300,000",44,28,41,"6,818","10,714.29","7,317.07",38,"105,958",35%,0.00%
"1 March, 2022","18 March, 2022",514,youtube_bloggers,"48,000",28,28,28,"1,714","1,714.29","1,714.29",20,"53,240",111%,0.00%
"1 March, 2022","19 March, 2022",515,youtube_bloggers,"280,000",127,95,122,"2,205","2,947.37","2,295.08",110,"347,619",124%,0.00%
"1 March, 2022","22 March, 2022",516,instagram_bloggers,"54,347",37,25,37,"1,469","2,173.88","1,468.84",36,"89,599",165%,0.00%
"1 March, 2022","22 March, 2022",517,instagram_bloggers,"15,000",8,8,8,"1,875","1,875","1,875",8,"37,939",253%,0.00%
"1 March, 2022","23 March, 2022",518,youtube_bloggers,"149,200",33,33,33,"4,521","4,521.21","4,521.21",31,"120,721",81%,0.00%
"1 March, 2022","24 March, 2022",519,youtube_bloggers,"50,000",18,11,18,"2,778","4,545.45","2,777.78",15,"42,374",85%,0.00%
"1 March, 2022","24 March, 2022",520,instagram_bloggers,"14,583",5,3,5,"2,917","4,861","2,916.6",4,"8,720",60%,0.00%
"1 March, 2022","25 March, 2022",521,youtube_bloggers,"56,000",12,12,12,"4,667","4,666.67","4,666.67",11,"49,958",89%,0.00%
"1 March, 2022","28 March, 2022",522,youtube_bloggers,"100,000",11,10,11,"9,091","10,000","9,090.91",10,"41,020",41%,0.00%
"1 March, 2022","29 March, 2022",523,youtube_bloggers,"96,775",42,32,42,"2,304","3,024.22","2,304.17",36,"114,983",119%,0.00%
"1 March, 2022","29 March, 2022",524,instagram_bloggers,"15,000",5,5,5,"3,000","3,000","3,000",5,"8,380",56%,0.00%
"1 March, 2022","30 March, 2022",525,youtube_bloggers,"100,000",40,40,40,"2,500","2,500","2,500",35,"118,993",119%,0.00%
"1 March, 2022","30 March, 2022",526,instagram_bloggers,"10,700",1,1,1,"10,700","10,700","10,700",1,"4,132",39%,0.00%
"1 March, 2022","31 March, 2022",527,telegram_bloggers,"10,000",10,9,10,"1,000","1,111.11","1,000",9,"16,629",166%,0.00%
"3 March, 2022","14 March, 2022",528,instagram_bloggers,"60,000",10,10,10,"6,000","6,000","6,000",10,"30,044",50%,0.00%
"3 March, 2022","25 March, 2022",529,instagram_bloggers,"70,000",16,16,16,"4,375","4,375","4,375",15,"54,293",78%,0.00%
